index,split,unknown_class,cifar10_predicted_class,score,threshold,margin,failure_category,explanation
505,near,camel,deer,-13.3916,-5.2929,8.0986,Semantically Plausible,"Class 'camel' shares strong visual/semantic features with CIFAR-10 'deer', causing the closed-set classifier to absorb the unknown with high logit response."
740,near,wolf,cat,-12.7226,-5.2929,7.4297,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
534,near,bus,deer,-12.623,-5.2929,7.3301,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
59,near,wolf,dog,-12.3304,-5.2929,7.0375,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
311,near,leopard,dog,-12.2775,-5.2929,6.9846,Semantically Plausible,"Class 'leopard' shares strong visual/semantic features with CIFAR-10 'dog', causing the closed-set classifier to absorb the unknown with high logit response."
197,near,fox,deer,-12.0355,-5.2929,6.7426,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
176,near,bus,dog,-11.7587,-5.2929,6.4657,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'dog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
695,near,fox,cat,-11.4832,-5.2929,6.1902,Semantically Plausible,"Class 'fox' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
716,near,tractor,ship,-11.3705,-5.2929,6.0775,Surprising Failure,"Class 'tractor' is visually distant from CIFAR-10 'ship', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
743,near,leopard,frog,-11.3343,-5.2929,6.0413,Surprising Failure,"Class 'leopard' is visually distant from CIFAR-10 'frog', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
324,near,pickup_truck,truck,-11.285,-5.2929,5.9921,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
782,near,wolf,cat,-11.2136,-5.2929,5.9207,Semantically Plausible,"Class 'wolf' shares strong visual/semantic features with CIFAR-10 'cat', causing the closed-set classifier to absorb the unknown with high logit response."
367,near,fox,horse,-11.1016,-5.2929,5.8087,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'horse', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
584,near,pickup_truck,automobile,-11.0609,-5.2929,5.768,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
507,near,tractor,truck,-11.0605,-5.2929,5.7676,Semantically Plausible,"Class 'tractor' shares strong visual/semantic features with CIFAR-10 'truck', causing the closed-set classifier to absorb the unknown with high logit response."
313,near,fox,deer,-10.9997,-5.2929,5.7068,Surprising Failure,"Class 'fox' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
712,near,pickup_truck,automobile,-10.9304,-5.2929,5.6375,Semantically Plausible,"Class 'pickup_truck' shares strong visual/semantic features with CIFAR-10 'automobile', causing the closed-set classifier to absorb the unknown with high logit response."
647,near,camel,cat,-10.8983,-5.2929,5.6054,Surprising Failure,"Class 'camel' is visually distant from CIFAR-10 'cat', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
796,near,bus,deer,-10.7763,-5.2929,5.4833,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
693,near,bus,deer,-10.7637,-5.2929,5.4707,Surprising Failure,"Class 'bus' is visually distant from CIFAR-10 'deer', indicating high-confidence aliasing on background textures, spurious edges, or unconstrained open space."
