epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.9417867250230576,0.14408888888888888,346.72732651367187,0.1008,0.16000000000000003
2,2.018512284448412,0.2348888888888889,2.651224688720703,0.2508,0.44800000000000006
3,1.8016116527557373,0.32197777777777775,1.8343981880187987,0.3046,0.7360000000000001
4,1.7105887320200601,0.3586666666666667,1.9635276609420775,0.3108,1.024
5,1.6586759606467354,0.3831777777777778,2.053462439727783,0.298,1.312
6,1.537058550898234,0.43006666666666665,1.9976189050674438,0.2564,1.6
7,1.3949040442996554,0.48835555555555554,1.7324783454895019,0.3568,1.5995626086064543
8,1.2842819614622327,0.5304666666666666,1.7189346517562867,0.3984,1.5982509127068838
9,1.1661321872711181,0.5824,1.6240267040252685,0.4144,1.5960663466214966
10,1.0095088287141587,0.6407777777777778,1.3682413825988768,0.5044,1.5930112991412337
11,0.8947045401891073,0.6824666666666667,1.5492143798828124,0.4944,1.589089110915661
12,0.8555855961269803,0.6961555555555555,1.9993509426116944,0.3934,1.5843040708000184
13,0.7975928684234619,0.7189333333333333,1.272135083961487,0.5854,1.5786614111654187
14,0.714728912279341,0.7488,1.3285021644592285,0.5878,1.5721673021773277
15,0.647085837703281,0.7742,1.396706453704834,0.5708,1.5648288450485786
16,0.617931791305542,0.7846666666666666,0.8434249258995056,0.7218,1.5566540642742992
17,0.5863209530724419,0.7955111111111111,0.9641946068763733,0.6902,1.5476518988572459
18,0.5391425351460775,0.8159555555555555,1.039517046546936,0.6702,1.537832192533133
19,0.5208771299150255,0.8198666666666666,1.0978512609481812,0.6576,1.527205683006655
20,0.49969478743871054,0.8279555555555556,0.7197909739494324,0.7578,1.5157839902099617
21,0.47734653174082436,0.8359333333333333,0.9280539097785949,0.7072,1.5035796035964353
22,0.46606141148673164,0.8401555555555555,0.7797282952308655,0.7428,1.4906058684836543
23,0.456199641778734,0.8426,0.6979943959236145,0.7674,1.4768769714604861
24,0.43748517219225563,0.848,0.8586025054931641,0.7206,1.4624079248742603
25,0.4380767718050215,0.8496222222222222,0.9786078353881836,0.6838,1.447214550414986
26,0.4519729105207655,0.8459777777777778,0.7232993949890136,0.7728,1.431313461814568
27,0.4196276847256554,0.8554,0.9096290618896484,0.7128,1.414722046679933
28,0.39788338815901014,0.8625111111111111,0.6417784468650818,0.782,1.3974584474799383
29,0.405310847096973,0.8605111111111111,1.3082646766662598,0.6254,1.3795415417068473
30,0.3812079952345954,0.8682444444444445,0.6790823140144349,0.7814,1.3609909212340694
31,0.3686357156647576,0.8737333333333334,0.7028508419036865,0.7732,1.3418268708927348
32,0.3709244111802843,0.8719111111111111,1.3748987573623657,0.6256,1.3220703462905272
33,0.3577365367041694,0.8762666666666666,0.8615041651725769,0.7294,1.3017429508970373
34,0.35721538141568504,0.8762666666666666,1.0093952541351319,0.7154,1.2808669124206837
35,0.35936369122399225,0.8762666666666666,0.7764510027885437,0.7496,1.2594650585030416
36,0.3516054772377014,0.8802444444444445,1.4302826694488526,0.617,1.2375607917571512
37,0.337460713397132,0.8830222222222223,0.6512470791816711,0.7884,1.2151780641771033
38,0.33650567957560223,0.8837111111111111,0.6250859490394592,0.7962,1.1923413509468872
39,0.31877205873065523,0.8897333333333334,1.0168653939247132,0.7098,1.1690756236771354
